CN,Year,UNU_Key
85182930,2010,0405
85182995,2010,0405
85182930,2011,0405
85182995,2011,0405
85182930,2012,0405
85182995,2012,0405
85182930,2013,0405
85182995,2013,0405
85182930,2014,0405
85182995,2014,0405
85182930,2015,0405
85182995,2015,0405
85182930,2016,0405
85182995,2016,0405
85182930,2017,0405
85182995,2017,0405
85182930,2018,0405
85182995,2018,0405
84571000,1993,1201
84571010,1994,1201
84571090,1994,1201
84571010,1995,1201
84571090,1995,1201
84571010,1996,1201
84571090,1996,1201
84571010,1997,1201
84571090,1997,1201
84571010,1998,1201
84571090,1998,1201
84571010,1999,1201
84571090,1999,1201
84571010,2000,1201
84571090,2000,1201
84571010,2001,1201
84571090,2001,1201
84571010,2002,1201
84571090,2002,1201
84571010,2003,1201
84571090,2003,1201
84571010,2004,1201
84571090,2004,1201
84571010,2005,1201
84571090,2005,1201
84571010,2006,1201
84571090,2006,1201
84571010,2007,1201
84571090,2007,1201
84571010,2008,1201
84571090,2008,1201
84571010,2009,1201
84571090,2009,1201
84571010,2010,1201
84571090,2010,1201
84571010,2011,1201
84571090,2011,1201
84571010,2012,1201
84571090,2012,1201
84571010,2013,1201
84571090,2013,1201
84571010,2014,1201
84571090,2014,1201
84571010,2015,1201
84571090,2015,1201
84571010,2016,1201
84571090,2016,1201
84571010,2017,1201
84571090,2017,1201
84571010,2018,1201
84571090,2018,1201
84572000,1993,1201
84572000,1994,1201
84572010,1995,1201
84572090,1995,1201
84572010,1996,1201
84572090,1996,1201
84572010,1997,1201
84572090,1997,1201
84572000,1998,1201
84572000,1999,1201
84572000,2000,1201
84572000,2001,1201
84572000,2002,1201
84572000,2003,1201
84572000,2004,1201
84572000,2005,1201
84572000,2006,1201
84572000,2007,1201
84572000,2008,1201
84572000,2009,1201
84572000,2010,1201
84572000,2011,1201
84572000,2012,1201
84572000,2013,1201
84572000,2014,1201
84572000,2015,1201
84572000,2016,1201
84572000,2017,1201
84572000,2018,1201
84573000,1993,1201
84573000,1994,1201
84573010,1995,1201
84573090,1995,1201
84573010,1996,1201
84573090,1996,1201
84573010,1997,1201
84573090,1997,1201
84573010,1998,1201
84573090,1998,1201
84573010,1999,1201
84573090,1999,1201
84573010,2000,1201
84573090,2000,1201
84573010,2001,1201
84573090,2001,1201
84573010,2002,1201
84573090,2002,1201
84573010,2003,1201
84573090,2003,1201
84573010,2004,1201
84573090,2004,1201
84573010,2005,1201
84573090,2005,1201
84573010,2006,1201
84573090,2006,1201
84573010,2007,1201
84573090,2007,1201
84573010,2008,1201
84573090,2008,1201
84573010,2009,1201
84573090,2009,1201
84573010,2010,1201
84573090,2010,1201
84573010,2011,1201
84573090,2011,1201
84573010,2012,1201
84573090,2012,1201
84573010,2013,1201
84573090,2013,1201
84573010,2014,1201
84573090,2014,1201
84573010,2015,1201
84573090,2015,1201
84573010,2016,1201
84573090,2016,1201
84573010,2017,1201
84573090,2017,1201
84573010,2018,1201
84573090,2018,1201
84581110,1993,1204
84581191,1993,1204
84581199,1993,1204
84581110,1994,1204
84581191,1994,1204
84581199,1994,1204
84581120,1995,1204
84581141,1995,1204
84581149,1995,1204
84581180,1995,1204
84581120,1996,1204
84581141,1996,1204
84581149,1996,1204
84581180,1996,1204
84581120,1997,1204
84581141,1997,1204
84581149,1997,1204
84581180,1997,1204
84581120,1998,1204
84581141,1998,1204
84581149,1998,1204
84581180,1998,1204
84581120,1999,1204
84581141,1999,1204
84581149,1999,1204
84581180,1999,1204
84581120,2000,1204
84581141,2000,1204
84581149,2000,1204
84581180,2000,1204
84581120,2001,1204
84581141,2001,1204
84581149,2001,1204
84581180,2001,1204
84581120,2002,1204
84581141,2002,1204
84581149,2002,1204
84581180,2002,1204
84581120,2003,1204
84581141,2003,1204
84581149,2003,1204
84581180,2003,1204
84581120,2004,1204
84581141,2004,1204
84581149,2004,1204
84581180,2004,1204
84581120,2005,1204
84581141,2005,1204
84581149,2005,1204
84581180,2005,1204
84581120,2006,1204
84581141,2006,1204
84581149,2006,1204
84581180,2006,1204
84581120,2007,1204
84581141,2007,1204
84581149,2007,1204
84581180,2007,1204
84581120,2008,1204
84581141,2008,1204
84581149,2008,1204
84581180,2008,1204
84581120,2009,1204
84581141,2009,1204
84581149,2009,1204
84581180,2009,1204
84581120,2010,1204
84581141,2010,1204
84581149,2010,1204
84581180,2010,1204
84581120,2011,1204
84581141,2011,1204
84581149,2011,1204
84581180,2011,1204
84581120,2012,1204
84581141,2012,1204
84581149,2012,1204
84581180,2012,1204
84581120,2013,1204
84581141,2013,1204
84581149,2013,1204
84581180,2013,1204
84581120,2014,1204
84581141,2014,1204
84581149,2014,1204
84581180,2014,1204
84581120,2015,1204
84581141,2015,1204
84581149,2015,1204
84581180,2015,1204
84581120,2016,1204
84581141,2016,1204
84581149,2016,1204
84581180,2016,1204
84581120,2017,1204
84581141,2017,1204
84581149,2017,1204
84581180,2017,1204
84581120,2018,1204
84581141,2018,1204
84581149,2018,1204
84581180,2018,1204
84581910,1993,1204
84581991,1993,1204
84581999,1993,1204
84581910,1994,1204
84581991,1994,1204
84581999,1994,1204
84581920,1995,1204
84581940,1995,1204
84581980,1995,1204
84581920,1996,1204
84581940,1996,1204
84581980,1996,1204
84581920,1997,1204
84581940,1997,1204
84581980,1997,1204
84581920,1998,1204
84581940,1998,1204
84581980,1998,1204
84581920,1999,1204
84581940,1999,1204
84581980,1999,1204
84581920,2000,1204
84581940,2000,1204
84581980,2000,1204
84581920,2001,1204
84581940,2001,1204
84581980,2001,1204
84581920,2002,1204
84581940,2002,1204
84581980,2002,1204
84581920,2003,1204
84581940,2003,1204
84581980,2003,1204
84581920,2004,1204
84581940,2004,1204
84581980,2004,1204
84581920,2005,1204
84581940,2005,1204
84581980,2005,1204
84581920,2006,1204
84581940,2006,1204
84581980,2006,1204
84581920,2007,1204
84581940,2007,1204
84581980,2007,1204
84581920,2008,1204
84581940,2008,1204
84581980,2008,1204
84581900,2009,1204
84581900,2010,1204
84581900,2011,1204
84581900,2012,1204
84581900,2013,1204
84581900,2014,1204
84581900,2015,1204
84581900,2016,1204
84581900,2017,1204
84581900,2018,1204
84589110,1993,1204
84589190,1993,1204
84589110,1994,1204
84589190,1994,1204
84589120,1995,1204
84589180,1995,1204
84589120,1996,1204
84589180,1996,1204
84589120,1997,1204
84589180,1997,1204
84589120,1998,1204
84589180,1998,1204
84589120,1999,1204
84589180,1999,1204
84589120,2000,1204
84589180,2000,1204
84589120,2001,1204
