"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","2005","SVN",2905524.6,94182.3209076175
"0001","2005","SWE",7415346.2,240367.786061588
"0001","2006","BEL",20431217.2,662276.084278768
"0001","2006","BGR",5484624.2,177783.604538088
"0001","2006","CYP",784600,25432.7390599676
"0001","2006","DEU",86967437.8,2819041.7439222
"0001","2006","DNK",909053,29466.8719611021
"0001","2006","ESP",31327361.8,1015473.64019449
"0001","2006","EST",1293343.13333333,41923.6023770935
"0001","2006","FIN",1027080.2,33292.7131280389
"0001","2006","FRA",69282087.5580419,2245772.69231902
"0001","2006","GBR",189475395.8,6141828.06482982
"0001","2006","GRC",11743819.2,380674.852512156
"0001","2006","HRV",3065557.8,99369.7828200973
"0001","2006","HUN",7483859.8,242588.648298217
"0001","2006","IRL",13538298.8,438842.748784441
"0001","2006","ITA",360275754.2,11678306.4570502
"0001","2006","LTU",4559233.4,147787.144246353
"0001","2006","LUX",736800,23883.3063209076
"0001","2006","LVA",2019381.2,65458.0615883306
"0001","2006","MLT",15800,512.155591572123
"0001","2006","NLD",61502417.8571429,1993595.39245196
"0001","2006","POL",53278352.8,1727013.05672609
"0001","2006","PRT",16012577.2,519046.262560778
"0001","2006","ROU",28714069.4,930764
"0001","2006","SVK",2108962.6,68361.8346839546
"0001","2006","SVN",3308881.6,107257.102106969
"0001","2006","SWE",7910527.07142858,256419.029868025
"0001","2007","BEL",20257615.4,656648.797406807
"0001","2007","BGR",5469284.6,177286.372771475
"0001","2007","CYP",906400,29380.8752025932
"0001","2007","DEU",37364348.8,1211162.0356564
"0001","2007","DNK",845201.2,27397.1215559157
"0001","2007","ESP",32928459.4,1067373.07617504
"0001","2007","EST",1212531.2,39304.0907617504
"0001","2007","FIN",531866.8,17240.414910859
"0001","2007","GBR",180892483.2,5863613.71799028
"0001","2007","GRC",12299978.4,398702.703403566
"0001","2007","HRV",1697190.8,55014.2884927066
"0001","2007","HUN",5263278.4,170608.700162075
"0001","2007","IRL",12849864.8,416527.222042139
"0001","2007","ITA",344052364.2,11152426.7163695
"0001","2007","LTU",3256679.4,105564.972447326
"0001","2007","LUX",832600,26988.6547811993
"0001","2007","LVA",2126322.8,68924.5640194489
"0001","2007","MLT",9200,298.217179902755
"0001","2007","NLD",67890520.4,2200665.16693679
"0001","2007","POL",45528585.6,1475805.04376013
"0001","2007","PRT",15451768,500867.682333874
"0001","2007","ROU",38633654.6,1252306.47001621
"0001","2007","SVK",78433661.4,2542420.14262561
"0001","2007","SVN",2307191,74787.3905996758
"0001","2007","SWE",6551265.8,212358.696920583
"0001","2008","BEL",24440966.6,792251.753646677
"0001","2008","BGR",4302124,139452.965964344
"0001","2008","CYP",881300,28567.2609400324
"0001","2008","DEU",76828181.2,2490378.64505673
"0001","2008","DNK",1748738.2,56685.1928687196
"0001","2008","ESP",28218334,914694.781199352
"0001","2008","EST",556442.4,18037.0307941653
"0001","2008","FIN",649209.6,21044.0713128039
"0001","2008","FRA",108114750,3504529.98379254
"0001","2008","GBR",175236045.8,5680260.80388979
"0001","2008","GRC",11623806.8,376784.661264181
"0001","2008","HRV",2028912.6,65767.021069692
"0001","2008","HUN",5000001.2,162074.593192869
"0001","2008","IRL",10806641.2,350296.311183144
"0001","2008","ITA",234849971.4,7612640.88816856
"0001","2008","LTU",3577127.8,115952.278768233
"0001","2008","LUX",1114000,36110.2106969206
"0001","2008","LVA",1345773.4,43623.1247974068
"0001","2008","MLT",15900,515.397082658023
"0001","2008","NLD",58529307.8,1897222.29497569
"0001","2008","POL",50134245.8,1625097.10858995
"0001","2008","PRT",11265968.8,365185.37439222
"0001","2008","ROU",31067287.6,1007043.35818476
"0001","2008","SVK",16683387.8,540790.528363047
"0001","2008","SVN",2741882.34,88877.871636953
"0001","2008","SWE",5034902,163205.899513776
"0001","2009","BEL",22474219,728499.805510535
"0001","2009","BGR",2504072.4,81169.28363047
"0001","2009","CYP",902200,29244.7325769854
"0001","2009","DEU",89590144.6,2904056.55105348
"0001","2009","DNK",1376461.2,44617.8670988655
"0001","2009","ESP",25395586.8,823195.682333873
"0001","2009","EST",317647.572222222,10296.5177381596
"0001","2009","FIN",696618.8,22580.8363047002
"0001","2009","FRA",92977173,3013846.77471637
"0001","2009","GBR",160189783,5192537.53646678
"0001","2009","GRC",6474375.2,209866.294975689
"0001","2009","HRV",1596999.6,51766.5996758509
"0001","2009","HUN",8146482,264067.487844408
"0001","2009","IRL",7406945.4,240095.474878444
"0001","2009","ITA",165680962.4,5370533.62722853
"0001","2009","LTU",1903310.2,61695.6304700162
"0001","2009","LUX",804500,26077.7957860616
"0001","2009","LVA",585816.4,18989.1863857374
"0001","2009","MLT",13600,440.842787682334
"0001","2009","NLD",61954658.2,2008254.72285251
"0001","2009","POL",45756380.8,1483189.00486224
"0001","2009","PRT",19294023.8,625414.061588331
"0001","2009","ROU",17661071.8,572482.068071313
"0001","2009","SVK",6854936.6,222202.158833063
"0001","2009","SVN",2857980.41666667,92641.1804430038
"0001","2009","SWE",4298792.8,139344.98541329
"0001","2010","BEL",22624228.8,733362.35980551
"0001","2010","BGR",2435846.6,78957.7504051864
"0001","2010","CYP",575907,18667.9740680713
"0001","2010","DEU",65615133.2,2126908.69367909
"0001","2010","DNK",1317850.6,42718.0097244733
"0001","2010","ESP",25533143,827654.554294976
"0001","2010","EST",321759,10429.7893030794
"0001","2010","FIN",427845.2,13868.5640194489
"0001","2010","FRA",75343660.6,2442258.04213938
"0001","2010","GBR",173757534.8,5632335.00162075
"0001","2010","GRC",5345350.8,173269.069692058
"0001","2010","HRV",1884475.2,61085.0956239871
"0001","2010","HUN",2358540.8,76451.8897893031
"0001","2010","IRL",8454532.6,274052.920583468
"0001","2010","ITA",193826358.2,6282864.12317666
"0001","2010","LTU",1902768,61678.0551053485
"0001","2010","LUX",534486,17325.3160453809
"0001","2010","LVA",703807.8,22813.8670988655
"0001","2010","MLT",5936,192.414910858995
"0001","2010","NLD",70148226.2,2273848.49918963
"0001","2010","POL",48603138.2,1575466.39222042
"0001","2010","PRT",21202682.2,687283.053484603
"0001","2010","ROU",22500421.6,729349.160453809
"0001","2010","SVK",8075290.8,261759.831442464
"0001","2010","SVN",2713353,87953.095623987
"0001","2010","SWE",4781098.4,154978.878444084
"0001","2011","BEL",29722958.6,963467.053484603
"0001","2011","BGR",3377945.4,109495.799027553
"0001","2011","CYP",580031,18801.6531604538
"0001","2011","DEU",74447849.6,2413220.40842788
"0001","2011","DNK",1833205.6,59423.1961102107
"0001","2011","ESP",22402138.4,726163.319286872
"0001","2011","EST",376737,12211.8962722852
"0001","2011","FIN",892662.4,28935.5721231767
"0001","2011","FRA",74220715.8,2405857.88654781
"0001","2011","GBR",172930971,5605542.00972447
"0001","2011","GRC",7114947.8,230630.398703404
"0001","2011","HRV",2463108.4,79841.4392220421
"0001","2011","HUN",2986566,96809.2706645057
"0001","2011","IRL",8670107.2,281040.752025932
"0001","2011","ITA",197170304.8,6391257.8541329
"0001","2011","LTU",1927684.4,62485.7179902755
"0001","2011","LUX",564439,18296.2398703404
"0001","2011","LVA",787830.8,25537.4651539708
"0001","2011","MLT",29513,956.661264181524
"0001","2011","NLD",68252586.6,2212401.51053485
"0001","2011","POL",49224021,1595592.2528363
"0001","2011","PRT",14634822,474386.450567261
"0001","2011","ROU",21492013.6,696661.705024311
"0001","2011","SVK",27027902.4,876107.047001621
"0001","2011","SVN",1672188,54203.8249594814
"0001","2011","SWE",7918524.6,256678.26904376
"0001","2012","BEL",22029180,714073.905996758
"0001","2012","BGR",3628028,117602.204213938
"0001","2012","CYP",318451,10322.5607779579
"0001","2012","DEU",85854732.2,2782973.4910859
"0001","2012","DNK",2537478.6,82252.1426256078
"0001","2012","ESP",19339904.4,626901.277147488
"0001","2012","EST",690830.2,22393.1993517018
"0001","2012","FRA",80416446.4,2606691.94165316
"0001","2012","GBR",162606211,5270865.83468395
"0001","2012","GRC",8740326.4,283316.901134522
"0001","2012","HRV",2899462.8,93985.8282009725
"0001","2012","IRL",7322583.8,237360.901134522
"0001","2012","ITA",195233873.8,6328488.61588331
"0001","2012","LTU",430655.8,13959.6693679093
"0001","2012","LUX",650942,21100.226904376
"0001","2012","LVA",934170,30281.0372771475
"0001","2012","MLT",17336,561.94489465154
"0001","2012","NLD",66054653.8,2141155.71474878
"0001","2012","POL",47445217,1537932.47974068
"0001","2012","PRT",8268508.4,268022.962722853
"0001","2012","ROU",18936996.2,613841.04376013
"0001","2012","SVK",36927795.8,1197011.20907618
"0001","2012","SVN",3569233.4,115696.382495948
"0001","2012","SWE",4345141.2,140847.364667747
"0001","2013","BEL",20135867,652702.333873582
"0001","2013","BGR",3127281.8,101370.560777958
"0001","2013","CYP",266800,8648.2982171799
"0001","2013","DEU",88772421.4,2877550.12641815
"0001","2013","DNK",1422793,46119.7082658023
"0001","2013","ESP",22011613.6,713504.492706645
"0001","2013","EST",504319.2,16347.4619124797
"0001","2013","FIN",669392.4,21698.2949756888
"0001","2013","FRA",80515055,2609888.33063209
"0001","2013","GBR",185588825,6015845.21880065
"0001","2013","GRC",3986138.6,129210.3273906
"0001","2013","HRV",1806797.8,58567.1896272285
"0001","2013","IRL",5148636.4,166892.589951378
"0001","2013","ITA",166188368.4,5386981.14748784
"0001","2013","LTU",1316029,42658.9627228525
"0001","2013","LUX",804508,26078.0551053485
"0001","2013","LVA",745934,24179.3841166937
"0001","2013","MLT",12353,400.421393841167
"0001","2013","NLD",64936565.2,2104912.97244733
"0001","2013","POL",51675478,1675056.01296596
"0001","2013","PRT",10020069.8,324799.669367909
"0001","2013","ROU",18514376.6,600141.867098865
"0001","2013","SVK",37932156.4,1229567.46839546
"0001","2013","SVN",3115301,100982.204213938
"0001","2013","SWE",4438780.2,143882.664505673
"0001","2014","BEL",19092119.2,618869.341977309
"0001","2014","BGR",2206820.2,71533.8800648298
"0001","2014","CYP",295808,9588.58995137763
"0001","2014","DEU",62980711.4,2041514.1458671
"0001","2014","DNK",1565998.2,50761.6920583468
"0001","2014","ESP",17984091.4,582952.719611021
"0001","2014","EST",218336.2,7077.34846029173
"0001","2014","FIN",360997.6,11701.7050243112
"0001","2014","FRA",78169788.4,2533866.72285251
"0001","2014","GBR",199551093.2,6468430.89789303
"0001","2014","GRC",2272040.6,73647.9935170178
"0001","2014","HRV",432321.8,14013.6726094003
"0001","2014","IRL",4977654,161350.210696921
"0001","2014","ITA",158344359.8,5132718.30794165
"0001","2014","LTU",2402981.8,77892.4408427877
"0001","2014","LUX",753587,24427.4554294976
"0001","2014","LVA",1424931.6,46189.0307941653
"0001","2014","MLT",21347,691.961102106969
"0001","2014","NLD",45966881.6,1490012.36952998
"0001","2014","POL",48032687.2,1556975.273906
"0001","2014","PRT",12158882.6,394129.095623987
"0001","2014","ROU",18457521.2,598298.904376013
"0001","2014","SVK",44396536.8,1439109.7828201
"0001","2014","SVN",2503687.2,81156.7974068071
"0001","2014","SWE",4837722,156814.3273906
"0001","2015","BEL",19139175.6,620394.670988655
"0001","2015","BGR",3063353,99298.3144246353
"0001","2015","CYP",394312,12781.5883306321
"0001","2015","DEU",79962257.0139131,2591969.43319005
"0001","2015","DNK",2229530.4,72270.0291734198
"0001","2015","ESP",17966550.2,582384.123176661
"0001","2015","EST",523294,16962.528363047
"0001","2015","FIN",538588.6,17458.301458671
"0001","2015","FRA",81768798,2650528.29821718
"0001","2015","GBR",200323561.2,6493470.37925446
"0001","2015","GRC",2356999.6,76401.9319286872
"0001","2015","HRV",244669.2,7930.93030794166
"0001","2015","HUN",175680.4,5694.66450567261
"0001","2015","IRL",3526561.60000001,114313.179902756
"0001","2015","ITA",222966382.8,7227435.42301459
"0001","2015","LTU",1639102,53131.3452188006
"0001","2015","LUX",747892,24242.8525121556
"0001","2015","LVA",2347418.6,76091.3646677472
"0001","2015","MLT",38521,1248.65478119935
"0001","2015","NLD",57144701.8,1852340.41491086
"0001","2015","POL",52867314.6,1713689.29011345
"0001","2015","PRT",11136239.4,360980.207455429
"0001","2015","ROU",23356249.2,757090.735818476
"0001","2015","SVK",41372498.4,1341085.84764992
"0001","2015","SVN",1851413.6,60013.4068071313
"0001","2015","SWE",3480630,112824.311183144
"0001","2016","BEL",16396836.4,531501.990275527
"0001","2016","BGR",2399660.6,77784.7844408428
"0001","2016","CYP",258485,8378.76823338736
"0001","2016","DEU",63640523.8,2062901.90599676
"0001","2016","DNK",1385103.4,44898.0032414911
"0001","2016","ESP",16807132,544801.685575365
"0001","2016","EST",477281,15471.0210696921
