UNU_Key,Country,AverageWeight,Year
0507,,2.67,2000.0
0507,,2.67,2001.0
0507,,2.67,2002.0
0507,,2.67,2003.0
0507,,2.67,2004.0
0507,,2.67,2005.0
0507,,2.67,2006.0
0507,,2.67,2007.0
0507,,2.67,2008.0
0701,,0.45,1993.0
0701,,0.45,1994.0
0701,,0.45,1995.0
0701,,0.45,1996.0
0701,,0.45,1997.0
0701,,0.45,1998.0
0701,,0.45,1999.0
0701,,0.45,2000.0
0701,,0.45,2001.0
0701,,0.45,2002.0
0701,,0.45,2003.0
0701,,0.45,2004.0
0701,,0.45,2005.0
0701,,0.45,2006.0
0701,,0.45,2007.0
0701,,0.45,2008.0
0702,,0.48,1993.0
0702,,0.48,1994.0
0702,,0.48,1995.0
0702,,0.48,1996.0
0702,,0.48,1997.0
0702,,0.48,1998.0
0702,,0.48,1999.0
0702,,0.48,2000.0
0702,,0.48,2001.0
0702,,0.48,2002.0
0702,,0.48,2003.0
0702,,0.48,2004.0
0702,,0.48,2005.0
0702,,0.48,2006.0
0702,,0.48,2007.0
0702,,0.48,2008.0
0703,,7.37,1993.0
0703,,7.37,1994.0
0703,,7.37,1995.0
0703,,7.37,1996.0
0703,,7.37,1997.0
0703,,7.37,1998.0
0703,,7.37,1999.0
0703,,7.37,2000.0
0703,,7.37,2001.0
0703,,7.37,2002.0
0703,,7.37,2003.0
0703,,7.37,2004.0
0703,,7.37,2005.0
0703,,7.37,2006.0
0703,,7.37,2007.0
0703,,7.37,2008.0
1001,,44.0,1993.0
1001,,44.0,1994.0
1001,,44.0,1995.0
1001,,44.0,1996.0
1001,,44.0,1997.0
1001,,44.0,1998.0
1001,,44.0,1999.0
1001,,44.0,2000.0
1001,,44.0,2001.0
1001,,44.0,2002.0
1001,,44.0,2003.0
1001,,44.0,2004.0
0801,,0.18,1993.0
0801,,0.18,1994.0
0801,,0.18,1995.0
0801,,0.18,1996.0
0801,,0.18,1997.0
0801,,0.18,1998.0
0801,,0.18,1999.0
0801,,0.18,2000.0
0801,,0.18,2001.0
0801,,0.18,2002.0
0801,,0.18,2003.0
0801,,0.18,2004.0
0801,,0.18,2005.0
0801,,0.18,2006.0
0801,,0.18,2007.0
0801,,0.18,2008.0
0802,,67.04,1993.0
0802,,67.04,1994.0
0802,,67.04,1995.0
0802,,67.04,1996.0
0802,,67.04,1997.0
0802,,67.04,1998.0
0802,,67.04,1999.0
0802,,67.04,2000.0
0802,,67.04,2001.0
0802,,67.04,2002.0
0802,,67.04,2003.0
0802,,67.04,2004.0
0802,,67.04,2005.0
0802,,67.04,2006.0
0802,,67.04,2007.0
0802,,67.04,2008.0
0901,,0.24,1993.0
0901,,0.24,1994.0
0901,,0.24,1995.0
0901,,0.24,1996.0
0901,,0.24,1997.0
0901,,0.24,1998.0
0901,,0.24,1999.0
0901,,0.24,2000.0
0901,,0.24,2001.0
0901,,0.24,2002.0
0901,,0.24,2003.0
0901,,0.24,2004.0
0901,,0.24,2005.0
0901,,0.24,2006.0
0901,,0.24,2007.0
0901,,0.24,2008.0
0902,,5.51,1993.0
0902,,5.51,1994.0
0902,,5.51,1995.0
0902,,5.51,1996.0
0902,,5.51,1997.0
0902,,5.51,1998.0
0902,,5.51,1999.0
0902,,5.51,2000.0
0902,,5.51,2001.0
